date,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred
2021-03-04,AUT,794114.0,537497.0,256617.0,27639.0,22196.0,8.82,2464.0,2.85
2021-03-05,AUT,831531.0,571826.0,259705.0,37417.0,23323.0,9.23,2590.0,2.88
2021-03-06,AUT,859693.0,597471.0,262222.0,28162.0,23746.0,9.55,2637.0,2.91
2021-03-07,AUT,871633.0,608754.0,262879.0,11940.0,24001.0,9.68,2665.0,2.92
2021-03-08,AUT,883330.0,619058.0,264272.0,11697.0,24396.0,9.81,2709.0,2.93
2021-03-09,AUT,911915.0,644091.0,267824.0,28585.0,24808.0,10.13,2754.0,2.97
2021-03-10,AUT,940974.0,668628.0,272346.0,29059.0,24928.0,10.45,2768.0,3.02
2021-03-11,AUT,985893.0,708091.0,277802.0,44919.0,27397.0,10.95,3042.0,3.08
2021-03-12,AUT,1044734.0,761521.0,283213.0,58841.0,30458.0,11.6,3382.0,3.14
2021-03-13,AUT,1097221.0,808228.0,288993.0,52487.0,33933.0,12.18,3768.0,3.21
2021-03-14,AUT,1128071.0,834843.0,293228.0,30850.0,36634.0,12.53,4068.0,3.26
2021-03-15,AUT,1149262.0,853702.0,295560.0,21191.0,37990.0,12.76,4218.0,3.28
2021-03-16,AUT,1177955.0,875963.0,302003.0,28693.0,38006.0,13.08,4220.0,3.35
2021-03-17,AUT,1212578.0,902421.0,310170.0,34623.0,38801.0,13.46,4308.0,3.44
2021-03-18,AUT,1247579.0,929245.0,318347.0,35001.0,37384.0,13.85,4151.0,3.53
2021-03-19,AUT,1301888.0,974872.0,327029.0,54309.0,36736.0,14.46,4079.0,3.63
2021-03-20,AUT,1349379.0,1012720.0,336672.0,47491.0,36023.0,14.98,4000.0,3.74
2021-03-21,AUT,1364949.0,1024402.0,340560.0,15570.0,33840.0,15.16,3757.0,3.78
2021-03-22,AUT,1381010.0,1037865.0,343159.0,16061.0,33107.0,15.33,3676.0,3.81
2021-03-23,AUT,1416968.0,1057160.0,359822.0,35958.0,34145.0,15.73,3791.0,4.0
2021-03-24,AUT,1456824.0,1078948.0,377891.0,39856.0,34892.0,16.18,3874.0,4.2
2021-03-25,AUT,1503182.0,1108705.0,394496.0,46358.0,36515.0,16.69,4054.0,4.38
2021-03-26,AUT,1554563.0,1141253.0,413331.0,51381.0,36096.0,17.26,4008.0,4.59
2021-03-27,AUT,1596077.0,1168100.0,427998.0,41514.0,35243.0,17.72,3913.0,4.75
2021-03-28,AUT,1610695.0,1178027.0,432689.0,14618.0,35107.0,17.88,3898.0,4.8
2021-03-29,AUT,1637465.0,1199180.0,438306.0,26770.0,36636.0,18.18,4068.0,4.87
2021-03-30,AUT,1679041.0,1228926.0,450136.0,41576.0,37439.0,18.64,4157.0,5.0
2021-03-31,AUT,1714470.0,1251183.0,463312.0,35429.0,36807.0,19.04,4087.0,5.14
2021-04-01,AUT,1756584.0,1274131.0,482481.0,42114.0,36200.0,19.5,4019.0,5.36
2021-04-02,AUT,1800713.0,1298965.0,501781.0,44129.0,35164.0,19.99,3904.0,5.57
2021-04-03,AUT,1822564.0,1311737.0,510861.0,21851.0,32355.0,20.24,3592.0,5.67
2021-04-04,AUT,1832653.0,1320058.0,512630.0,10089.0,31708.0,20.35,3521.0,5.69
2021-04-05,AUT,1845230.0,1327857.0,517411.0,12577.0,29681.0,20.49,3296.0,5.74
2021-04-06,AUT,1883622.0,1354184.0,529479.0,38392.0,29226.0,20.91,3245.0,5.88
2021-04-07,AUT,1939600.0,1393960.0,545684.0,55978.0,32161.0,21.54,3571.0,6.06
2021-04-08,AUT,2012624.0,1441133.0,571539.0,73024.0,36577.0,22.35,4061.0,6.35
2021-04-09,AUT,2091389.0,1486553.0,604890.0,78765.0,41525.0,23.22,4611.0,6.72
2021-04-10,AUT,2156861.0,1523178.0,633742.0,65472.0,47757.0,23.95,5303.0,7.04
2021-04-11,AUT,2182880.0,1533507.0,649434.0,26019.0,50032.0,24.24,5555.0,7.21
2021-04-12,AUT,2218078.0,1561612.0,656528.0,35198.0,53264.0,24.63,5914.0,7.29
